selection,director,year_rev,voter,voter_url,voter_role,voter_critic_or_director,voter_country
They Were Expendable,John Ford,1945,Brian Meacham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-meacham,"Managing Archivist, Yale Film Archive",critic,USA
Late Spring,Yasujirō Ozu,1949,Brian Meacham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-meacham,"Managing Archivist, Yale Film Archive",critic,USA
Vertigo,Alfred Hitchcock,1958,Brian Meacham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-meacham,"Managing Archivist, Yale Film Archive",critic,USA
The 400 Blows,François Truffaut,1959,Brian Meacham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-meacham,"Managing Archivist, Yale Film Archive",critic,USA
The Conversation,Francis Ford Coppola,1974,Brian Meacham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-meacham,"Managing Archivist, Yale Film Archive",critic,USA
Frank Film,Frank Mouris,1973,Brian Meacham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-meacham,"Managing Archivist, Yale Film Archive",critic,USA
Close-Up,Abbas Kiarostami,1989,Brian Meacham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-meacham,"Managing Archivist, Yale Film Archive",critic,USA
The Piano,Jane Campion,1992,Brian Meacham,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-meacham,"Managing Archivist, Yale Film Archive",critic,USA
Psycho: 1960,Alfred Hitchcock,1960,Brian Robinson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-robinson,Programmer,critic,UK
Letter From An Unknown Woman,Max Ophuls,1948,Brian Robinson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-robinson,Programmer,critic,UK
Mysterious Skin,Gregg Araki,2004,Brian Robinson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-robinson,Programmer,critic,UK
Don't Look Now,Nicolas Roeg,1973,Brian Robinson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-robinson,Programmer,critic,UK
The Red Shoes,"Michael Powell, Emeric Pressburger",1948,Brian Robinson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-robinson,Programmer,critic,UK
Barry Lyndon,Stanley Kubrick,1975,Brian Robinson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-robinson,Programmer,critic,UK
Auntie Mame,Morton Da Costa,1958,Brian Robinson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-robinson,Programmer,critic,UK
The Long Day Closes,Terence Davies,1992,Brian Robinson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-robinson,Programmer,critic,UK
Umberto D.,Vittorio De Sica,1952,Brian Robinson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-robinson,Programmer,critic,UK
A Star Is Born,George Cukor,1954,Brian Robinson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-robinson,Programmer,critic,UK
Bicycle Thieves,Vittorio De Sica,1948,Brian Tallerico,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-tallerico,"Managing Editor, RogerEbert.com",critic,USA
Do The Right Thing,Spike Lee,1989,Brian Tallerico,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-tallerico,"Managing Editor, RogerEbert.com",critic,USA
In The Mood For Love,Wong Kar Wai,2000,Brian Tallerico,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-tallerico,"Managing Editor, RogerEbert.com",critic,USA
Metropolis,Fritz Lang,1927,Brian Tallerico,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-tallerico,"Managing Editor, RogerEbert.com",critic,USA
Raging Bull,Martin Scorsese,1980,Brian Tallerico,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-tallerico,"Managing Editor, RogerEbert.com",critic,USA
Spirited Away,Hayao Miyazaki,2001,Brian Tallerico,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-tallerico,"Managing Editor, RogerEbert.com",critic,USA
Seven Samurai,Akira Kurosawa,1954,Brian Tallerico,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-tallerico,"Managing Editor, RogerEbert.com",critic,USA
Singin' In The Rain,"Gene Kelly, Stanley Donen",1951,Brian Tallerico,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-tallerico,"Managing Editor, RogerEbert.com",critic,USA
The Tree Of Life,Terrence Malick,2010,Brian Tallerico,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-tallerico,"Managing Editor, RogerEbert.com",critic,USA
Vertigo,Alfred Hitchcock,1958,Brian Tallerico,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brian-tallerico,"Managing Editor, RogerEbert.com",critic,USA
Inland Empire,David Lynch,2006,Brianna Zigler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brianna-zigler,Freelance Entertainment Writer,critic,USA
"What's Opera, Doc?",Chuck Jones,1957,Brianna Zigler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brianna-zigler,Freelance Entertainment Writer,critic,USA
Suspiria,Dario Argento,1977,Brianna Zigler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brianna-zigler,Freelance Entertainment Writer,critic,USA
Eyes Wide Shut,Stanley Kubrick,1999,Brianna Zigler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brianna-zigler,Freelance Entertainment Writer,critic,USA
Brief Encounter,David Lean,1945,Brianna Zigler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brianna-zigler,Freelance Entertainment Writer,critic,USA
The Matrix,The Wachowskis,1999,Brianna Zigler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brianna-zigler,Freelance Entertainment Writer,critic,USA
Girl Friends,Claudia Weill,1978,Brianna Zigler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brianna-zigler,Freelance Entertainment Writer,critic,USA
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Brianna Zigler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brianna-zigler,Freelance Entertainment Writer,critic,USA
The Heartbreak Kid,Elaine May,1972,Brianna Zigler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brianna-zigler,Freelance Entertainment Writer,critic,USA
Phantom Of The Paradise,Brian De Palma,1974,Brianna Zigler,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brianna-zigler,Freelance Entertainment Writer,critic,USA
"Dance, Girl, Dance",Dorothy Arzner,1940,Brigitte Mayr,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brigitte-mayr,Filmhistorian at SYNEMA - Society for Film & Media (Vienna),critic,Austria
Der Verlorene,Peter Lorre,1951,Brigitte Mayr,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brigitte-mayr,Filmhistorian at SYNEMA - Society for Film & Media (Vienna),critic,Austria
The Memory Of Justice,Marcel Ophüls,1976,Brigitte Mayr,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brigitte-mayr,Filmhistorian at SYNEMA - Society for Film & Media (Vienna),critic,Austria
Nattlek,Mai Zetterling,1966,Brigitte Mayr,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brigitte-mayr,Filmhistorian at SYNEMA - Society for Film & Media (Vienna),critic,Austria
Léon,Luc Besson,1994,Brigitte Mayr,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brigitte-mayr,Filmhistorian at SYNEMA - Society for Film & Media (Vienna),critic,Austria
Wo Hu Zang Long,Ang Lee,2000,Brigitte Mayr,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brigitte-mayr,Filmhistorian at SYNEMA - Society for Film & Media (Vienna),critic,Austria
All The President's Men,Alan J. Pakula,1976,Brigitte Mayr,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brigitte-mayr,Filmhistorian at SYNEMA - Society for Film & Media (Vienna),critic,Austria
Gaslight,Thorold Dickinson,1940,Brigitte Mayr,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brigitte-mayr,Filmhistorian at SYNEMA - Society for Film & Media (Vienna),critic,Austria
Pandora's Box,G.W. Pabst,1928,Brigitte Mayr,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brigitte-mayr,Filmhistorian at SYNEMA - Society for Film & Media (Vienna),critic,Austria
Don't Look Now,Nicolas Roeg,1973,Brigitte Mayr,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brigitte-mayr,Filmhistorian at SYNEMA - Society for Film & Media (Vienna),critic,Austria
Kes,Ken Loach,1969,Briony Hanson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/briony-hanson,Director of Film,critic,UK
Gilda,Charles Vidor,1946,Briony Hanson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/briony-hanson,Director of Film,critic,UK
In The Mood For Love,Wong Kar Wai,2000,Briony Hanson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/briony-hanson,Director of Film,critic,UK
Far From Heaven,Todd Haynes,2002,Briony Hanson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/briony-hanson,Director of Film,critic,UK
Portrait Of A Lady On Fire,Céline Sciamma,2019,Briony Hanson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/briony-hanson,Director of Film,critic,UK
Call Me By Your Name,Luca Guadagnino,2017,Briony Hanson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/briony-hanson,Director of Film,critic,UK
American Honey,Andrea Arnold,2016,Briony Hanson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/briony-hanson,Director of Film,critic,UK
Goodfellas,Martin Scorsese,1990,Briony Hanson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/briony-hanson,Director of Film,critic,UK
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Briony Hanson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/briony-hanson,Director of Film,critic,UK
Get Out,Jordan Peele,2017,Briony Hanson,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/briony-hanson,Director of Film,critic,UK
2001: A Space Odyssey,Stanley Kubrick,1968,Brogan Morris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brogan-morris,Critic,critic,UK
The 400 Blows,François Truffaut,1959,Brogan Morris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brogan-morris,Critic,critic,UK
Black Narcissus,"Michael Powell, Emeric Pressburger",1947,Brogan Morris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brogan-morris,Critic,critic,UK
Edvard Munch,Peter Watkins,1976,Brogan Morris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brogan-morris,Critic,critic,UK
The Godfather Part Ii,Francis Ford Coppola,1974,Brogan Morris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brogan-morris,Critic,critic,UK
Playtime,Jacques Tati,1967,Brogan Morris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brogan-morris,Critic,critic,UK
Rear Window,Alfred Hitchcock,1954,Brogan Morris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brogan-morris,Critic,critic,UK
The Red And The White,Miklos Jancso,1967,Brogan Morris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brogan-morris,Critic,critic,UK
Shoah,Claude Lanzmann,1985,Brogan Morris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brogan-morris,Critic,critic,UK
Taxi Driver,Martin Scorsese,1976,Brogan Morris,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/brogan-morris,Critic,critic,UK
Utvandrarna,Jan Troell,1970,Bruce Beresford,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-beresford,Director/writer,director,Australia
Pather Panchali,Satyajit Ray,1955,Bruce Beresford,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-beresford,Director/writer,director,Australia
Only Angels Have Wings,Howard Hawks,1939,Bruce Beresford,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-beresford,Director/writer,director,Australia
The Passion Of Joan Of Arc,Carl Th. Dreyer,1927,Bruce Beresford,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-beresford,Director/writer,director,Australia
The Godfather Part Ii,Francis Ford Coppola,1974,Bruce Beresford,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-beresford,Director/writer,director,Australia
My Darling Clementine,John Ford,1946,Bruce Beresford,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-beresford,Director/writer,director,Australia
Citizen Kane,Orson Welles,1941,Bruce Beresford,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-beresford,Director/writer,director,Australia
La Strada,Federico Fellini,1954,Bruce Beresford,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-beresford,Director/writer,director,Australia
The Heiress,William Wyler,1949,Bruce Beresford,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-beresford,Director/writer,director,Australia
Tangerines,Zaza Urushadze,2013,Bruce Beresford,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-beresford,Director/writer,director,Australia
The Magnificent Ambersons,Orson Welles,1942,Bruce Hodsdon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-hodsdon,retired,critic,Australia
La Règle Du Jeu,Jean Renoir,1939,Bruce Hodsdon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-hodsdon,retired,critic,Australia
Vertigo,Alfred Hitchcock,1958,Bruce Hodsdon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-hodsdon,retired,critic,Australia
Au Hasard Balthazar,Robert Bresson,1966,Bruce Hodsdon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-hodsdon,retired,critic,Australia
Salvatore Giuliano,Francesco Rosi,1962,Bruce Hodsdon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-hodsdon,retired,critic,Australia
The Shining,Stanley Kubrick,1980,Bruce Hodsdon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-hodsdon,retired,critic,Australia
The Spirit Of The Beehive,Víctor Erice,1973,Bruce Hodsdon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-hodsdon,retired,critic,Australia
Vivre Sa Vie,Jean-Luc Godard,1962,Bruce Hodsdon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-hodsdon,retired,critic,Australia
Céline And Julie Go Boating,Jacques Rivette,1974,Bruce Hodsdon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-hodsdon,retired,critic,Australia
Beau Travail,Claire Denis,1998,Bruce Hodsdon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-hodsdon,retired,critic,Australia
The Godfather,Francis Ford Coppola,1972,Bruce Isaacs,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-isaacs,"Associate Professor in Film Studies, University of Sydney",critic,Australia
Apocalypse Now,Francis Ford Coppola,1979,Bruce Isaacs,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-isaacs,"Associate Professor in Film Studies, University of Sydney",critic,Australia
Raiders Of The Lost Ark,Steven Spielberg,1981,Bruce Isaacs,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-isaacs,"Associate Professor in Film Studies, University of Sydney",critic,Australia
There Will Be Blood,Paul Thomas Anderson,2007,Bruce Isaacs,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-isaacs,"Associate Professor in Film Studies, University of Sydney",critic,Australia
In The Mood For Love,Wong Kar Wai,2000,Bruce Isaacs,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-isaacs,"Associate Professor in Film Studies, University of Sydney",critic,Australia
Once Upon A Time In The West,Sergio Leone,1968,Bruce Isaacs,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-isaacs,"Associate Professor in Film Studies, University of Sydney",critic,Australia
Taxi Driver,Martin Scorsese,1976,Bruce Isaacs,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-isaacs,"Associate Professor in Film Studies, University of Sydney",critic,Australia
North By Northwest,Alfred Hitchcock,1959,Bruce Isaacs,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-isaacs,"Associate Professor in Film Studies, University of Sydney",critic,Australia
Once Upon A Time… In Hollywood,Quentin Tarantino,2019,Bruce Isaacs,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-isaacs,"Associate Professor in Film Studies, University of Sydney",critic,Australia
Brokeback Mountain,Ang Lee,2005,Bruce Isaacs,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-isaacs,"Associate Professor in Film Studies, University of Sydney",critic,Australia
Blue,Derek Jarman,1993,Bruce Jenkins,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-jenkins,,critic,USA
The Chelsea Girls,Andy Warhol,1966,Bruce Jenkins,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-jenkins,,critic,USA
Close-Up,Abbas Kiarostami,1989,Bruce Jenkins,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-jenkins,,critic,USA
Crossroads,Bruce Conner,1976,Bruce Jenkins,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-jenkins,,critic,USA
"Goodbye, Dragon Inn",Tsai Ming-liang,2003,Bruce Jenkins,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-jenkins,,critic,USA
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Bruce Jenkins,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-jenkins,,critic,USA
Killer Of Sheep,Charles Burnett,1977,Bruce Jenkins,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-jenkins,,critic,USA
Man With A Movie Camera,Dziga Vertov,1929,Bruce Jenkins,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-jenkins,,critic,USA
(Nostalgia),Hollis Frampton,1971,Bruce Jenkins,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-jenkins,,critic,USA
Sans Soleil,Chris Marker,1982,Bruce Jenkins,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruce-jenkins,,critic,USA
República,Grace Passô,2020,Bruno Guaraná,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-guarana,Master Lecturer of Film and Television Studies at Boston University,critic,United States
Vidas Secas,Nelson Pereira Dos Santos,1963,Bruno Guaraná,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-guarana,Master Lecturer of Film and Television Studies at Boston University,critic,United States
Madame Satã,Karim Aïnouz,2002,Bruno Guaraná,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-guarana,Master Lecturer of Film and Television Studies at Boston University,critic,United States
Cléo From 5 To 7,Agnès Varda,1962,Bruno Guaraná,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-guarana,Master Lecturer of Film and Television Studies at Boston University,critic,United States
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Bruno Guaraná,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-guarana,Master Lecturer of Film and Television Studies at Boston University,critic,United States
La Ciénaga,Lucrecia Martel,2001,Bruno Guaraná,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-guarana,Master Lecturer of Film and Television Studies at Boston University,critic,United States
Come And See,Elem Klimov,1985,Bruno Guaraná,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-guarana,Master Lecturer of Film and Television Studies at Boston University,critic,United States
The Passion Of Joan Of Arc,Carl Th. Dreyer,1927,Bruno Guaraná,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-guarana,Master Lecturer of Film and Television Studies at Boston University,critic,United States
Close-Up,Abbas Kiarostami,1989,Bruno Guaraná,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-guarana,Master Lecturer of Film and Television Studies at Boston University,critic,United States
Do The Right Thing,Spike Lee,1989,Bruno Guaraná,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-guarana,Master Lecturer of Film and Television Studies at Boston University,critic,United States
L'atalante,Jean Vigo,1934,Bruno Mestdagh,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-mestdagh,Service Department Digital Film Collection and Restoration,critic,Belgium
Red Desert,Michelangelo Antonioni,1964,Bruno Mestdagh,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-mestdagh,Service Department Digital Film Collection and Restoration,critic,Belgium
Gangs Of New York,Martin Scorsese,2002,Bruno Mestdagh,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-mestdagh,Service Department Digital Film Collection and Restoration,critic,Belgium
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Bruno Mestdagh,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-mestdagh,Service Department Digital Film Collection and Restoration,critic,Belgium
Johnny Guitar,Nicholas Ray,1954,Bruno Mestdagh,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-mestdagh,Service Department Digital Film Collection and Restoration,critic,Belgium
Maudite Soit La Guerre,Alfred Machin,1914,Bruno Mestdagh,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-mestdagh,Service Department Digital Film Collection and Restoration,critic,Belgium
Sherlock Jr.,Buster Keaton,1924,Bruno Mestdagh,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-mestdagh,Service Department Digital Film Collection and Restoration,critic,Belgium
Ugetsu Monogatari,Kenji Mizoguchi,1953,Bruno Mestdagh,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-mestdagh,Service Department Digital Film Collection and Restoration,critic,Belgium
Wild Strawberries,Ingmar Bergman,1957,Bruno Mestdagh,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-mestdagh,Service Department Digital Film Collection and Restoration,critic,Belgium
The Wind,Victor Sjöström,1928,Bruno Mestdagh,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-mestdagh,Service Department Digital Film Collection and Restoration,critic,Belgium
The Long Day Closes,Terence Davies,1992,Bruno Oseguera Pizaña,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-oseguera-pizana,Programming Consultant,critic,Mexico
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Bruno Oseguera Pizaña,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-oseguera-pizana,Programming Consultant,critic,Mexico
Lolita,Stanley Kubrick,1961,Bruno Oseguera Pizaña,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-oseguera-pizana,Programming Consultant,critic,Mexico
The Piano,Jane Campion,1992,Bruno Oseguera Pizaña,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-oseguera-pizana,Programming Consultant,critic,Mexico
India Song,Marguerite Duras,1975,Bruno Oseguera Pizaña,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-oseguera-pizana,Programming Consultant,critic,Mexico
The Age Of Innocence,Martin Scorsese,1993,Bruno Oseguera Pizaña,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-oseguera-pizana,Programming Consultant,critic,Mexico
Simón Del Desierto,Luis Buñuel,1965,Bruno Oseguera Pizaña,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-oseguera-pizana,Programming Consultant,critic,Mexico
My Brilliant Career,Gillian Armstrong,1979,Bruno Oseguera Pizaña,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-oseguera-pizana,Programming Consultant,critic,Mexico
A Brighter Summer Day,Edward Yang,1991,Bruno Oseguera Pizaña,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-oseguera-pizana,Programming Consultant,critic,Mexico
Les Demoiselles De Rochefort,Jacques Demy,1967,Bruno Oseguera Pizaña,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bruno-oseguera-pizana,Programming Consultant,critic,Mexico
An Elephant Sitting Still,Hu Bo,2018,Bryan Chang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryan-chang,Film Critic and Independent Filmmaker,critic,Hong Kong
Le Fils,"Jean-Pierre Dardenne, Luc Dardenne",2002,Bryan Chang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryan-chang,Film Critic and Independent Filmmaker,critic,Hong Kong
Syndromes And A Century,Apichatpong Weerasethakul,2006,Bryan Chang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryan-chang,Film Critic and Independent Filmmaker,critic,Hong Kong
"4 Luni, 3 Saptamini Si 2 Zile",Cristian Mungiu,2007,Bryan Chang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryan-chang,Film Critic and Independent Filmmaker,critic,Hong Kong
The Headless Woman,Lucrecia Martel,2008,Bryan Chang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryan-chang,Film Critic and Independent Filmmaker,critic,Hong Kong
Happy Hour,Ryusuke Hamaguchi,2015,Bryan Chang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryan-chang,Film Critic and Independent Filmmaker,critic,Hong Kong
About Elly,Asghar Farhadi,2009,Bryan Chang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryan-chang,Film Critic and Independent Filmmaker,critic,Hong Kong
Election,Johnnie To Kei-fung,2005,Bryan Chang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryan-chang,Film Critic and Independent Filmmaker,critic,Hong Kong
