selection,director,year_rev,voter,voter_url,voter_role,voter_critic_or_director,voter_country
Lawrence Of Arabia,David Lean,1962,Ab Zagt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/ab-zagt,Filmcritic,critic,Netherlands
Ultimo Tango A Parigi,Bernardo Bertolucci,1972,Ab Zagt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/ab-zagt,Filmcritic,critic,Netherlands
"The Good, The Bad And The Ugly",Sergio Leone,1966,Ab Zagt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/ab-zagt,Filmcritic,critic,Netherlands
Citizen Kane,Orson Welles,1941,Ab Zagt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/ab-zagt,Filmcritic,critic,Netherlands
Some Like It Hot,Billy Wilder,1959,Ab Zagt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/ab-zagt,Filmcritic,critic,Netherlands
Manhattan,Woody Allen,1979,Ab Zagt,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/ab-zagt,Filmcritic,critic,Netherlands
2001: A Space Odyssey,Stanley Kubrick,1968,Abbas Baharloo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbas-baharloo,Film critic and historian,critic,Iran
Tokyo Story,Yasujirō Ozu,1953,Abbas Baharloo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbas-baharloo,Film critic and historian,critic,Iran
Citizen Kane,Orson Welles,1941,Abbas Baharloo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbas-baharloo,Film critic and historian,critic,Iran
The Godfather,Francis Ford Coppola,1972,Abbas Baharloo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbas-baharloo,Film critic and historian,critic,Iran
8½,Federico Fellini,1963,Abbas Baharloo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbas-baharloo,Film critic and historian,critic,Iran
Bicycle Thieves,Vittorio De Sica,1948,Abbas Baharloo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbas-baharloo,Film critic and historian,critic,Iran
Rear Window,Alfred Hitchcock,1954,Abbas Baharloo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbas-baharloo,Film critic and historian,critic,Iran
The Passion Of Joan Of Arc,Carl Th. Dreyer,1927,Abbas Baharloo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbas-baharloo,Film critic and historian,critic,Iran
Seven Samurai,Akira Kurosawa,1954,Abbas Baharloo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbas-baharloo,Film critic and historian,critic,Iran
Ugetsu Monogatari,Kenji Mizoguchi,1953,Abbas Baharloo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbas-baharloo,Film critic and historian,critic,Iran
2001: A Space Odyssey,Stanley Kubrick,1968,Abbey Bender,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbey-bender,Writer,critic,USA
Die Bitteren Tränen Der Petra Von Kant,Rainer Werner Fassbinder,1972,Abbey Bender,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbey-bender,Writer,critic,USA
La Nuit Américaine,François Truffaut,1973,Abbey Bender,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbey-bender,Writer,critic,USA
Desperately Seeking Susan,Susan Seidelman,1985,Abbey Bender,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbey-bender,Writer,critic,USA
Le Charme Discret De La Bourgeoisie,Luis Buñuel,1972,Abbey Bender,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbey-bender,Writer,critic,USA
Double Indemnity,Billy Wilder,1944,Abbey Bender,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbey-bender,Writer,critic,USA
The Girl Can't Help It,Frank Tashlin,1956,Abbey Bender,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbey-bender,Writer,critic,USA
2 Ou 3 Choses Que Je Sais D'elle,Jean-Luc Godard,1967,Abbey Bender,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbey-bender,Writer,critic,USA
Written On The Wind,Douglas Sirk,1956,Abbey Bender,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbey-bender,Writer,critic,USA
Vertigo,Alfred Hitchcock,1958,Abbey Bender,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abbey-bender,Writer,critic,USA
My Very Private Eros: Love Song 1974,Kazuo Hara,1974,Abby Sun,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abby-sun,"Director of Artist Programs, International Documentary Association",critic,USA
The House Is Black,Forough Farokhzad,1962,Abby Sun,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abby-sun,"Director of Artist Programs, International Documentary Association",critic,USA
Jaguar,Jean Rouch,1967,Abby Sun,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abby-sun,"Director of Artist Programs, International Documentary Association",critic,USA
A Touch Of Zen,King Hu,1969,Abby Sun,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abby-sun,"Director of Artist Programs, International Documentary Association",critic,USA
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Abby Sun,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abby-sun,"Director of Artist Programs, International Documentary Association",critic,USA
The Perfumed Nightmare,Kidlat Tahimik,1976,Abby Sun,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abby-sun,"Director of Artist Programs, International Documentary Association",critic,USA
A Brighter Summer Day,Edward Yang,1991,Abby Sun,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abby-sun,"Director of Artist Programs, International Documentary Association",critic,USA
Double Blind/No Sex Last Night,Sophie Calle/Greg Shepard,1996,Abby Sun,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abby-sun,"Director of Artist Programs, International Documentary Association",critic,USA
Khlebny Dyen,Sergey Dvortsevoy,1998,Abby Sun,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abby-sun,"Director of Artist Programs, International Documentary Association",critic,USA
West Indies: The Fugitive Slaves Of Liberty,Med Hondo,1979,Abby Sun,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abby-sun,"Director of Artist Programs, International Documentary Association",critic,USA
Touch Of Evil,Orson Welles,1958,Abel Ferrara,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abel-ferrara,director,director,USA
The Battle Of Algiers,Gillo Pontecorvo,1966,Abel Ferrara,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abel-ferrara,director,director,USA
3 Women,Robert Altman,1977,Abel Ferrara,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abel-ferrara,director,director,USA
Raging Bull,Martin Scorsese,1980,Abel Ferrara,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abel-ferrara,director,director,USA
"Salò, Or The 120 Days Of Sodom",Pier Paolo Pasolini,1975,Abel Ferrara,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abel-ferrara,director,director,USA
Családi Tüzfészek,Béla Tarr,1979,Abel Ferrara,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abel-ferrara,director,director,USA
A Woman Under The Influence,John Cassavetes,1974,Abel Ferrara,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abel-ferrara,director,director,USA
The Shining,Stanley Kubrick,1980,Abel Ferrara,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abel-ferrara,director,director,USA
Sherlock Jr.,Buster Keaton,1924,Abel Ferrara,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abel-ferrara,director,director,USA
Psycho: 1960,Alfred Hitchcock,1960,Abel Ferrara,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abel-ferrara,director,director,USA
La Petite Vendeuse De 'Soleil',Djibril Diop Mambéty,1999,Abiba Coulibaly,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abiba-coulibaly,Assistant Programmer,critic,UK
Devdas,Sanjay Leela Bhansali,2002,Abiba Coulibaly,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abiba-coulibaly,Assistant Programmer,critic,UK
The Last Angel Of History,John Akomfrah,1995,Abiba Coulibaly,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abiba-coulibaly,Assistant Programmer,critic,UK
Shakedown,Leilah Weinraub,2018,Abiba Coulibaly,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abiba-coulibaly,Assistant Programmer,critic,UK
The Last Black Man In San Francisco,Joe Talbot,2019,Abiba Coulibaly,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abiba-coulibaly,Assistant Programmer,critic,UK
